Year,State,Imported from different state,Imported within state,Border,Transnational,Mixed/Non-PfPv,P. vivax,P. falciparum,Brazil Resident,Venezuela Resident,Guiana Resident,French Guiana Resident,Peru Resident,Bolivia Resident,Suriname Resident,Median days between symptoms and notification,Mean days between symptoms and notification,Total cases
2015,Others,259,143,0,505,67,2046,60,2168,3,0,2,0,0,0,2,4.211100569,2173
2015,Para,445,2353,0,177,1080,8454,1732,11265,0,0,0,0,0,0,2,3.455319955,11266
2015,Rodonia,1052,1418,0,14,210,8506,601,9275,1,0,0,0,40,0,2,3.358622958,9317
2015,Roraima,84,1238,0,1661,248,9470,463,9674,488,19,0,0,0,0,2,2.760290316,10181
2016,Acre,1076,3973,0,1,1951,32165,5191,39300,0,0,0,2,5,0,1,2.210744252,39307
2016,Amapa,624,3423,0,60,742,12261,1348,14348,0,0,3,0,0,0,3,3.629141432,14351
2016,Amazonas,585,3731,0,161,1368,53882,2470,57368,18,0,0,312,0,0,2,2.99876845,57720
2016,Others,386,109,0,610,69,1637,92,1794,2,0,0,0,0,0,2,4.725806452,1798
2016,Para,623,2772,0,174,1181,16532,845,18557,0,0,0,0,0,1,2,3.523059229,18558
2016,Rodonia,903,1640,0,14,178,8501,572,9243,0,0,0,0,8,0,2,3.343774211,9251
2016,Roraima,63,921,0,2277,508,9045,1084,9134,1483,19,0,0,1,0,2,2.844256049,10637
2017,Acre,1099,3230,0,17,1867,34720,6247,42821,0,0,0,0,13,0,2,2.286558055,42834
2017,Amapa,944,3802,0,119,505,16053,1307,17852,0,0,13,0,0,0,3,3.770053779,17865
2017,Amazonas,1092,7605,0,191,2653,87613,5890,95869,16,0,0,257,0,0,2,2.852834633,96156
2017,Others,384,140,0,781,82,2010,89,2178,1,0,2,0,0,0,2,4.083727531,2181
2017,Para,1289,5585,0,209,2724,47378,1147,51249,0,0,0,0,0,0,2,3.142396605,51249
2017,Rodonia,1461,1510,0,10,302,8350,978,9600,1,0,0,0,28,0,2,3.411118157,9630
2017,Roraima,132,2696,0,2133,458,16629,883,16437,1528,5,0,0,0,0,2,3.195710763,17970
2018,Acre,904,3069,0,14,1668,26047,4454,32165,2,0,0,0,1,0,2,2.28975954,32169
2018,Amapa,865,3317,0,75,269,16475,767,17503,0,0,7,0,0,0,2,3.120156483,17511
2018,Amazonas,1158,6365,0,323,4827,72405,6675,83773,28,1,0,93,0,0,2,2.29716909,83907
2018,Others,471,124,0,683,55,2346,92,2492,0,0,0,0,0,0,1,2.476190476,2493
2018,Para,1212,7767,0,200,2471,62046,760,65277,0,0,0,0,0,0,2,2.688948787,65277
2018,Rodonia,2370,1705,0,7,352,10524,981,11823,1,0,0,0,33,0,2,3.047528517,11857
2018,Roraima,133,4237,0,3311,1467,26615,1847,26804,3107,17,0,0,0,0,2,2.64378801,29929
